CokeOreRatio,HotBlastRate,f1,f2,f3,f4,f5,f6,f7,lastFe,lastCo2,CO2_Fe_Ratio
6.7294481483,58.4200686395,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1105.3083726527,1290227.4137817854,7.063305715695014
3.6126989492,34.37851352,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.0057150165,48583.7157702383,15.955701906175472
7.2816252718,46.4905543897,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,63.9865389589,515920.3344533582,8.995158925858535
6.8856851551,27.3916454863,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.0033768108,29966.8034552581,15.998669166417958
5.2492968422,76.4350584149,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,13452.9532785615,3216632.9845743757,5.481065365450129
6.25231019,60.8218138617,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1519.0288587344,1475340.359548234,6.879601855250115
7.7135482824,43.9068601192,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,32.8658634579,409290.4373525516,9.429826060937048
4.0131200137,49.2708182912,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,10.0400613636,403004.5141875121,10.600144728883787
5.1602145412,139.0695817984,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1088088.2873512236,16874848.33953569,2.8038882671985306
7.6270029818,79.7329921834,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,35048.1264832912,3797518.229119419,4.694567765153468
8.7770114249,82.2024859883,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,50869.9142641225,4073281.71628956,4.395343938854634
2.4836953851,149.4332557939,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,105191.4038044018,13375541.319833877,4.853235155262825
2.7573179357,34.372889726,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.0010154336,33723.4477425188,17.318388243607853
6.0004247351,46.3421593735,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,31.806618568,459170.3561374425,9.577571434612288
5.7376931553,23.5756206274,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,7.49674e-05,11454.4300840346,18.844588966248814
8.7312791896,143.7933280874,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1387804.2953327578,15103040.46947288,2.475082509629785
7.6693672863,46.2515645738,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,69.0126523676,514476.2323294808,8.916748914667421
